uid	fid
8	4236
8	4237
8	4242
8	4243
8	4251
8	4259
8	4260
15	0
15	22
15	104
15	111
15	124
15	184
15	249
15	459
15	506
15	590
15	1214
15	3485
15	4362
15	4363
15	4367
15	4368
15	4370
15	4378
15	4379
15	4380
15	4387
15	4389
15	4390
15	4396
15	4397
15	4398
15	4399
15	4402
15	4405
15	4406
15	4412
15	4413
15	4420
15	4428
15	4432
15	4435
15	4444
15	4447
15	4451
15	4453
15	4454
15	4456
15	5422
15	9219
16	0
16	40
16	285
16	416
16	4251
16	4467
16	4485
16	4487
20	0
20	511
20	525
20	592
20	2913
20	3597
20	3661
20	3824
20	3973
20	4534
20	4572
20	4625
20	4631
20	4634
20	4636
20	4640
20	4646
20	4649
20	4653
20	4659
20	4664
20	4665
20	4666
20	4669
20	4679
20	4681
20	4682
20	4683
20	4686
20	4687
20	4700
20	4703
20	4714
20	4720
20	4727
20	4729
20	4735
20	4742
20	4744
21	0
21	22
21	53
21	91
21	124
21	143
21	158
21	219
21	222
21	285
21	450
21	527
21	556
21	1174
21	1358
21	1388
21	1727
21	1940
21	1960
21	1999
21	2009
21	2434
21	2798
21	3229
21	3480
21	3673
21	3675
21	3698
21	3857
21	4080
21	4406
21	4646
21	4669
21	4748
21	4750
21	4752
21	4755
21	4771
21	4774
21	4781
21	4782
21	4785
21	4786
21	4788
21	4790
21	4792
21	4793
21	4794
21	4796
21	4801
21	4803
21	4810
21	4811
21	4814
21	4817
21	4819
21	4824
21	4828
21	4831
21	4833
21	4836
21	4838
21	4839
21	4848
21	4850
21	4858
21	4864
21	4865
21	4873
21	4884
21	4890
21	4892
21	4896
21	4902
21	4903
21	4907
21	4911
22	0
22	15
22	21
22	111
22	378
22	492
22	527
22	531
22	562
22	576
22	590
22	682
22	842
22	956
22	1174
22	1201
22	1527
22	1641
22	1642
22	1711
22	1747
22	1783
22	1976
22	2080
22	2169
22	2242
22	2798
22	2805
22	2883
22	2972
22	3480
22	3526
22	3890
22	4435
22	4584
22	4659
22	4771
22	4793
22	4811
22	4836
22	4902
22	4912
22	4913
22	4916
22	4918
22	4920
22	4922
22	4924
22	4925
22	4926
22	4928
22	4929
22	4930
22	4933
22	4935
22	4937
22	4938
22	4939
22	4943
22	4944
22	4945
22	4951
22	4952
22	4954
22	4955
22	4963
22	4964
22	4970
22	4972
22	4977
22	4978
22	4982
22	4985
22	4986
22	4987
22	4990
22	4991
22	4996
22	4998
22	5000
22	5001
22	5003
22	5014
22	5015
22	5017
22	5018
22	5021
22	5024
27	0
27	41
27	242
27	434
27	3070
27	5131
27	5159
34	0
34	40
34	62
34	84
34	181
34	182
34	204
34	345
34	416
34	459
34	523
34	526
34	599
34	830
34	1185
34	1615
34	2755
34	3553
34	3602
34	4331
34	4399
34	4467
34	4560
34	4640
34	5284
34	5285
34	5298
34	5300
34	5302
34	5308
34	5309
34	5311
34	5312
34	5316
34	5322
34	5325
34	5327
34	5329
34	5330
34	5332
34	5333
34	5338
34	5343
34	5345
34	5351
34	5353
35	0
35	562
35	2810
35	5355
35	5364
35	5384
39	0
39	527
39	5479
39	5481
39	5484
39	5486
39	5489
40	0
40	5
40	16
40	34
40	62
40	151
40	182
40	204
40	275
40	292
40	297
40	345
40	355
40	416
40	459
40	523
40	526
40	527
40	578
40	592
40	598
40	682
40	914
40	1185
40	1537
40	1567
40	2169
40	3553
40	3578
40	3598
40	3602
40	4362
40	4370
40	4389
40	4396
40	4398
40	4399
40	4467
40	4517
40	4560
40	4636
40	4640
40	4924
40	4951
40	5285
40	5302
40	5309
40	5316
40	5332
40	5345
40	5351
40	5463
40	5500
40	5511
40	5515
40	5518
40	5522
40	5529
40	5533
40	5538
40	5546
40	5550
40	5552
40	5557
40	5558
40	5560
40	5562
40	5570
40	5575
40	5577
40	5589
40	5594
40	5605
40	5607
40	5610
40	5611
40	5612
40	5615
40	5616
40	5622
40	5624
40	5626
40	5630
40	5631
40	5640
40	5651
41	0
41	5
41	27
41	256
41	434
41	450
41	574
41	956
41	2241
41	2810
41	3070
41	3870
41	3965
41	3998
41	5131
41	5670
41	5671
41	5693
41	5696
41	5701
41	5703
41	5714
41	5716
41	5717
41	5719
41	5722
41	5727
41	5728
41	5735
41	5736
41	5737
41	5748
41	5763
41	5770
44	0
44	5
44	143
44	182
44	275
44	292
44	459
44	498
44	511
44	527
44	578
44	592
44	596
44	1557
44	1657
44	1727
44	1848
44	1889
44	2009
44	2028
44	2081
44	2169
44	2255
44	2434
44	3553
44	3578
44	3625
44	3698
44	3791
44	3830
44	3866
44	3870
44	3934
44	3975
44	3985
44	4370
44	4390
44	4517
44	4605
44	4700
44	4729
44	4819
44	5511
44	5515
44	5853
44	5862
44	5884
44	5890
44	5915
44	5923
44	5941
44	5943
44	5944
44	5947
44	5949
44	5952
44	5962
44	5963
44	5972
44	5976
44	5980
44	5984
44	5985
44	5995
44	5996
44	6009
44	6014
44	6019
44	6024
44	7275
44	10843
52	0
52	88
52	111
52	583
52	590
52	5236
52	6133
52	6137
52	6146
52	6155
52	6156
53	0
53	21
53	111
53	124
53	217
53	347
53	956
53	1174
53	1201
53	4771
53	5422
53	5607
53	6168
53	6171
53	6183
53	6184
53	6197
53	6198
53	6209
54	0
54	5
54	143
54	378
54	459
54	956
54	3835
54	4370
54	6220
62	0
62	34
62	40
62	92
62	123
62	182
62	204
62	304
62	345
62	355
62	416
62	459
62	477
62	523
62	526
62	527
62	538
62	593
62	596
62	599
62	604
62	1185
62	1976
62	4362
62	4485
62	5047
62	5325
62	5338
62	5351
62	5546
62	5562
62	5853
62	6488
62	6490
62	6499
62	6504
62	6507
62	6516
62	6522
62	6523
62	6527
62	6528
62	6530
62	6531
62	6535
62	6540
62	6546
62	6547
62	6549
62	6553
62	6554
71	0
71	576
71	7229
71	7230
77	0
77	141
77	539
77	3736
77	3774
77	3818
77	3998
77	4103
77	5345
77	7291
78	0
78	333
78	506
78	510
78	4362
78	5325
78	5351
78	5853
78	7294
78	7296
78	7301
81	0
81	476
81	477
81	494
81	4199
81	4640
81	5050
81	5345
81	5562
81	6101
81	6351
81	7356
81	7359
81	7363
84	0
84	34
84	416
84	523
84	595
84	830
84	1185
84	1942
84	2350
84	3485
84	5308
84	5322
84	5332
84	5338
84	5351
84	5533
84	5947
84	7272
84	7928
85	0
85	124
85	304
85	2755
85	5439
85	6516
85	7938
88	0
88	52
88	243
88	501
88	590
88	595
88	956
88	974
88	1014
88	1134
88	8042
88	8050
88	8053
88	8064
91	0
91	21
91	523
91	6827
91	6930
91	7359
91	8145
91	8155
91	8159
91	8170
91	8179
92	0
92	62
92	106
92	596
92	599
92	607
92	4358
92	5086
92	5101
92	5353
92	5552
92	6355
92	6382
92	6388
92	6389
92	8195
104	0
104	15
104	111
104	313
104	459
104	562
104	4103
104	4389
104	4397
104	4399
104	5610
104	7661
104	8538
104	8540
104	8547
104	8548
104	8571
106	0
106	92
106	123
106	217
106	313
106	477
106	593
106	596
106	599
106	2555
106	4237
106	4358
106	5103
106	5118
106	6366
106	6389
106	7278
106	8583
106	8587
106	8590
109	0
109	556
109	4103
109	5236
111	0
111	15
111	22
111	52
111	53
111	104
111	124
111	226
111	313
111	578
111	590
111	646
111	662
111	900
111	1201
111	1556
111	2132
111	4788
111	6220
111	7938
111	8666
111	8670
111	8703
115	0
115	1201
115	6258
115	8808
123	0
123	62
123	106
123	459
123	506
123	599
123	7473
123	7981
123	9157
123	9158
123	9159
124	0
124	15
124	21
124	53
124	85
124	111
124	158
124	182
124	184
124	204
124	304
124	333
124	459
124	470
124	523
124	525
124	528
124	590
124	599
124	914
124	1185
124	1346
124	1769
124	2755
124	3553
124	3730
124	4379
124	4396
124	4397
124	4398
124	4456
124	4560
124	5111
124	5327
124	5353
124	5439
124	5550
124	6057
124	6516
124	7979
124	7981
124	8000
124	8650
124	9179
124	9181
124	9189
124	9195
124	9204
124	9211
124	9216
124	9218
124	9219
124	9221
124	9225
124	9232
124	9237
128	0
128	1657
136	0
136	406
136	460
136	522
136	556
136	2255
136	9541
136	9544
141	0
141	5
141	77
141	143
141	261
141	333
141	365
141	498
141	556
141	592
141	2434
141	3553
141	3818
141	3835
141	3870
141	4103
141	4396
141	4598
141	6827
141	8000
141	9753
142	0
142	9762
142	9765
143	0
143	5
143	21
143	44
143	54
143	141
143	261
143	333
143	459
143	498
143	511
143	527
143	590
143	592
143	599
143	682
143	914
143	1500
143	1960
143	2081
143	2169
143	2255
143	3673
143	3824
143	3830
143	3835
143	3869
143	3870
143	3903
143	4370
143	5236
143	5533
143	5717
143	6137
143	6155
143	8822
143	9794
143	9796
143	9804
143	9807
143	9811
143	9814
143	9832
143	9834
143	9835
151	0
151	40
151	189
151	399
151	459
151	556
151	4389
151	8418
158	0
158	21
158	124
158	513
158	599
158	1051
158	1201
158	2798
158	3379
158	4896
158	7334
158	10331
158	10348
158	10351
158	10354
158	10355
158	10368
158	10370
158	10378
158	10379
158	10382
158	10385
158	10388
158	10393
158	10398
158	10406
158	10409
158	10410
158	10412
158	10433
158	10441
158	10451
160	0
160	4925
175	0
175	355
175	459
175	604
175	5285
175	7236
175	7474
175	10071
175	10867
175	10887
175	10938
175	10939
175	10941
175	10947
175	10974
175	10980
179	0
179	365
179	11371
179	11372
179	11377
179	11378
181	0
181	34
181	189
181	190
181	345
181	365
181	459
181	460
181	526
181	556
181	596
181	1185
181	4572
181	4640
181	5285
181	5345
181	5546
181	6319
181	8812
181	9861
181	11403
181	11412
181	11420
181	11423
181	11425
181	11426
182	0
182	34
182	40
182	44
182	62
182	124
182	204
182	304
182	308
182	355
182	370
182	416
182	492
182	526
182	592
182	599
182	682
182	868
182	914
182	1185
182	1201
182	1522
182	2009
182	2169
182	2629
182	3553
182	4103
182	4467
182	4517
182	4560
182	4580
182	4585
182	4640
182	4771
182	4938
182	5298
182	5302
182	5332
182	5345
182	5462
182	6516
182	7455
182	7614
182	8922
182	10483
182	11428
182	11458
182	11460
182	11471
182	11473
182	11476
182	11494
182	11500
182	11522
182	11544
182	11556
182	11574
182	11577
184	0
184	15
184	124
184	204
184	249
184	355
184	459
184	492
184	506
184	511
184	523
184	527
184	596
184	599
184	1185
184	1500
184	2169
184	2255
184	3553
184	3578
184	3905
184	4192
184	4349
184	4362
184	4363
184	4396
184	4413
184	4451
184	4456
184	4700
184	4729
184	4781
184	4911
184	5302
184	5454
184	5511
184	5550
184	6241
184	6251
184	6274
184	7414
184	8411
184	9179
184	9232
184	9834
184	10100
184	11593
184	11606
184	11608
184	11612
184	11613
184	11617
184	11626
184	11628
184	11637
184	11655
184	11660
184	11666
184	11668
184	11673
184	11678
189	0
189	151
189	181
189	190
189	365
189	460
189	556
189	4302
189	6319
189	6320
189	11799
190	0
190	181
190	189
190	281
190	347
190	365
190	459
190	460
190	503
190	522
190	527
190	556
190	2255
190	4302
190	6319
190	6320
190	8822
190	10855
191	0
191	234
191	347
191	459
191	3528
191	3529
191	3542
204	0
204	34
204	40
204	62
204	124
204	182
204	184
204	213
204	333
204	345
204	354
204	355
204	416
204	459
204	477
204	492
204	523
204	526
204	527
204	596
204	1185
204	2081
204	2255
204	3480
204	3578
204	4362
204	4451
204	4517
204	4560
204	4803
204	5302
204	5308
204	5351
204	5550
204	5626
204	6241
204	6278
204	6296
204	6516
204	6540
204	6572
204	8000
204	8272
204	12142
204	12146
204	12148
204	12163
213	0
213	204
213	4451
213	5015
213	5308
213	6241
213	6274
213	6278
213	6295
213	6296
213	6572
213	6606
213	13399
213	13408
217	0
217	53
217	106
217	416
217	459
217	477
217	511
217	578
217	682
217	2255
217	4237
217	4243
217	4485
217	4523
217	4560
217	4580
217	4585
217	4636
217	4903
217	5047
217	5072
217	5101
217	5103
217	5105
217	5114
217	5118
217	5308
217	5562
217	5631
217	6366
217	6379
217	6382
217	6388
217	6389
217	7451
217	7650
217	11377
217	13455
217	13456
217	13463
217	13470
218	0
218	450
218	459
218	527
218	592
218	1174
218	1201
218	2009
218	2434
218	3673
218	4771
218	5397
218	5436
218	6274
218	6424
218	8155
218	9861
218	13549
218	13568
218	13582
218	13622
218	13644
218	13670
218	13679
218	13681
218	13691
219	0
219	21
219	522
219	4302
219	6424
219	10852
219	13705
222	0
222	21
222	459
222	527
222	2434
222	7148
222	7430
222	10410
223	0
223	4358
223	4368
223	4848
223	8155
223	8159
223	21998
223	22000
223	22006
226	0
226	111
226	562
226	576
226	4788
226	5243
234	0
234	191
234	3528
237	0
237	275
237	1889
237	2847
237	3578
237	4580
237	4585
237	4903
237	5557
237	5589
237	6639
237	9712
237	11897
237	22126
237	22128
237	22130
242	0
242	5
242	27
242	646
242	956
242	1269
242	6137
243	0
243	88
243	501
243	590
243	1409
243	2132
243	2245
243	5311
243	8050
243	8917
243	11697
243	22215
243	22217
249	0
249	15
249	184
249	304
249	333
249	416
249	459
249	506
249	510
249	596
249	599
249	1185
249	3753
249	4362
249	4368
249	4370
249	4396
249	4398
249	5325
249	5351
249	5422
249	5439
249	5550
249	5558
249	5818
249	5944
249	6516
249	7301
249	7979
249	9211
249	16497
249	22377
256	0
256	41
256	365
256	406
256	442
256	511
256	5243
256	8950
261	0
261	5
261	141
261	143
261	498
261	568
261	13267
268	0
268	522
268	22679
275	0
275	40
275	44
275	237
275	297
275	355
275	416
275	459
275	527
275	596
275	604
275	914
275	1120
275	1500
275	1798
275	1933
275	1999
275	2153
275	2169
275	2357
275	2434
275	2847
275	3553
275	3602
275	4370
275	4517
275	4560
275	4911
275	5454
275	5511
275	5824
275	5853
275	6554
275	7039
275	7451
275	7472
275	9834
275	10484
275	16385
275	18341
275	22723
275	22728
275	22743
275	22746
275	22748
275	22756
275	22758
281	0
281	190
281	450
281	527
281	556
281	2434
281	4161
281	4585
281	5045
281	6571
281	16385
281	22814
281	22815
285	0
285	16
285	21
285	304
285	599
285	607
285	4251
285	5311
285	5439
285	6057
285	6183
285	6549
285	7867
285	13207
285	22956
285	22960
285	22975
292	0
292	5
292	40
292	44
292	459
292	526
292	592
292	2009
292	2221
292	2255
292	3121
292	3440
292	3553
292	3578
292	3602
292	3774
292	3973
292	3975
292	4103
292	4331
292	4390
292	4398
292	4640
292	4679
292	5285
292	5345
292	5479
292	5546
292	7466
292	7650
292	9395
292	22283
292	22815
292	23109
292	23112
292	23129
292	23132
292	23150
297	0
297	5
297	40
297	275
297	333
297	339
297	355
297	378
297	430
297	458
297	459
297	527
297	592
297	3550
297	3563
297	4199
297	4406
297	4467
297	4485
297	4603
297	5550
297	5824
297	5853
297	8000
297	22126
297	22283
297	23214
298	0
298	399
298	459
298	487
298	2434
298	4345
298	4572
298	4595
298	7039
298	11709
298	23274
298	23275
304	0
304	62
304	85
304	124
304	182
304	249
304	285
304	333
304	355
304	459
304	527
304	599
304	607
304	830
304	1185
304	2357
304	4251
304	4911
304	6057
304	6516
304	6549
304	7867
304	11458
304	23338
304	23352
304	23353
304	78822
308	0
308	182
308	599
312	0
312	450
312	6137
312	23510
313	0
313	104
313	106
313	111
313	470
313	494
313	3602
313	3675
313	3774
313	3855
313	3870
313	4103
313	5247
313	5345
313	5610
313	7661
313	8650
313	23534
332	0
332	590
333	0
333	78
333	124
333	141
333	143
333	204
333	249
333	297
333	304
333	416
333	459
333	1185
333	2350
333	2434
333	3574
333	4113
333	4358
333	4362
333	4368
333	4396
333	4398
333	5322
333	5325
333	5332
333	5338
333	5533
333	5550
333	6516
333	7867
333	8000
333	9179
333	9211
333	9219
333	9753
333	9796
333	11612
333	11673
333	24041
333	24145
336	0
336	6488
339	0
339	297
339	400
339	527
339	570
339	4196
339	4206
339	6103
339	8607
339	8627
345	0
345	34
345	40
345	62
345	181
345	204
345	416
345	523
345	596
345	2081
345	3480
345	4349
345	5072
345	5285
345	5302
345	5311
345	5577
345	6083
345	24344
345	24345
347	0
347	5
347	53
347	190
347	191
347	460
347	607
347	900
347	3528
347	3529
347	3542
347	4302
347	4362
347	4398
347	6320
347	24352
347	24357
354	0
354	204
354	459
354	527
354	538
354	574
354	3675
354	3973
354	4352
354	4358
354	4362
354	4420
354	5114
354	5853
354	6355
354	6397
355	0
355	5
355	40
355	62
355	175
355	182
355	184
355	204
355	275
355	297
355	304
355	430
355	459
355	477
355	478
355	511
355	527
355	578
355	592
355	2169
355	3578
355	4362
355	4398
355	4467
355	4485
355	4534
355	4580
355	4636
355	4742
355	5047
355	5302
355	5330
355	5462
355	5557
355	5824
355	8287
355	22283
355	24436
365	0
365	141
365	179
365	181
365	189
365	190
365	256
365	459
365	556
365	598
365	830
365	1185
365	4640
365	5338
365	5546
365	5626
365	6319
365	8207
365	10852
365	11378
365	11412
365	11423
370	0
370	182
370	477
370	599
370	5101
370	5114
370	5118
370	6355
370	6364
370	6388
370	6389
370	6397
370	8650
370	23353
370	24667
372	0
372	590
372	1269
372	1641
372	2357
372	24684
373	0
373	459
373	599
373	1201
373	1388
373	2434
373	4729
373	5436
373	5947
373	8626
373	8924
373	24690
373	24712
373	24763
378	0
378	22
378	54
378	297
378	590
378	682
378	1201
378	1409
378	1527
378	1594
378	1711
378	1783
378	1940
378	2080
378	2412
378	2798
378	2972
378	3698
378	4435
378	4700
378	4771
378	4817
378	4902
378	4907
378	4920
378	4943
378	4977
378	5484
378	5952
378	6258
378	6704
378	7229
378	8447
378	10751
378	11218
378	12146
378	22561
378	24101
378	24684
378	24938
378	24939
378	24941
378	24943
378	24946
378	24947
378	24949
378	24951
378	24952
378	24953
378	24954
378	24957
378	24958
378	24959
378	24961
378	24962
378	24963
378	24965
378	24966
378	24968
378	24969
378	24970
378	24972
378	24975
378	24976
378	24977
378	24979
378	24980
378	24981
399	0
399	151
399	298
399	487
399	4251
399	5570
399	25320
399	25323
399	25325
400	0
400	339
400	25328
406	0
406	136
406	256
406	458
406	503
416	0
416	16
416	34
416	40
416	62
416	84
416	182
416	204
416	217
416	249
416	275
416	333
416	345
416	459
416	477
416	523
416	526
416	527
416	599
416	830
416	1185
416	1768
416	3485
416	4370
416	4396
416	4398
416	4467
416	4485
416	4560
416	4640
416	5047
416	5302
416	5316
416	5322
416	5332
416	5345
416	5351
416	5550
416	5552
416	5558
416	5607
416	5611
416	5626
416	5947
416	7472
416	7867
416	8272
416	9305
416	24062
417	0
417	527
417	3132
417	3869
417	3906
417	4771
419	0
419	5
419	556
419	3800
419	4103
430	0
430	297
430	355
430	3563
430	4199
430	4406
430	4539
430	4560
430	4729
430	5064
430	22283
430	23566
434	0
434	27
434	41
434	574
434	3070
434	5131
434	5159
434	25861
434	143581
439	0
439	527
439	2225
439	4370
439	25916
439	25919
439	25921
439	25922
439	25935
439	25937
442	0
442	256
442	28770
442	28775
450	0
450	5
450	21
450	41
450	218
450	281
450	312
450	459
450	498
450	526
450	527
450	576
450	590
450	592
450	682
450	859
450	1174
450	1201
450	1237
450	1269
450	1556
450	1657
450	1711
450	1800
450	1848
450	1933
450	1960
450	2009
450	2066
450	2081
450	2255
450	2434
450	2805
450	3229
450	3553
450	3673
450	3708
450	3753
450	4010
450	4080
450	4082
450	4161
450	4517
450	4559
450	4599
450	4605
450	4937
450	5436
450	5615
450	5717
450	5719
450	5862
450	6083
450	6571
450	6748
450	6812
450	6951
450	7008
450	7039
450	7430
450	7515
450	8091
450	8351
450	9216
450	9631
450	9861
450	10249
450	10489
450	11574
450	12012
450	12788
450	13247
450	13269
450	16182
450	16385
450	22400
450	22815
450	23275
450	23605
450	23647
450	23681
450	28794
450	28892
450	28897
450	28898
450	28916
450	28917
450	28922
450	28933
450	28961
450	28974
450	28976
450	28981
450	28984
450	29002
450	29007
450	29019
450	29021
450	29025
450	29046
450	29073
450	29076
450	29094
450	29109
450	29134
450	29149
450	29150
450	29153
450	29180
450	29197
450	29214
457	0
457	578
457	956
457	1762
457	4251
457	5577
457	13000
457	29344
457	29345
457	29346
457	29350
457	29352
457	29353
457	29354
457	29358
457	29363
458	0
458	297
458	406
458	459
458	531
458	596
458	1201
458	1358
458	2434
458	3563
458	3668
458	4938
458	5064
458	5594
458	5824
458	5941
458	7236
458	8418
458	9901
458	13322
458	26380
458	27519
458	28140
458	28693
458	29390
458	29400
458	29437
458	29442
458	29479
458	29503
458	29515
458	29519
458	29530
458	29544
458	29558
459	0
459	5
459	15
459	34
459	40
459	44
459	54
459	62
459	104
459	123
459	124
459	143
459	151
459	175
459	181
459	184
459	190
459	191
459	204
459	217
459	218
459	222
459	249
459	275
459	292
459	297
459	298
459	304
459	333
459	354
459	355
459	365
459	373
459	416
459	450
459	458
459	460
459	470
459	492
459	498
459	506
459	511
459	523
459	526
459	527
459	531
459	556
459	578
459	590
459	592
459	595
459	596
459	599
459	604
459	607
459	682
459	859
459	868
459	914
459	956
459	974
459	1122
459	1174
459	1185
459	1201
459	1269
459	1428
459	1500
459	1522
459	1556
459	1567
459	1614
459	1615
459	1620
459	1642
459	1657
459	1674
459	1727
459	1777
459	1797
459	1798
459	1800
459	1816
459	1848
459	1945
459	1960
459	1999
459	2009
459	2014
459	2048
459	2081
459	2105
459	2153
459	2169
459	2233
459	2255
459	2326
459	2350
459	2366
459	2434
459	2555
459	2578
459	2704
459	2798
459	2805
459	2847
459	3132
459	3229
459	3266
459	3463
459	3550
459	3553
459	3555
459	3578
459	3597
459	3598
459	3602
459	3698
459	3708
459	3727
459	3774
459	3791
459	3818
459	3824
459	3853
459	3866
459	3888
459	3890
459	3905
459	3934
459	3973
459	3975
459	3998
459	4010
459	4251
459	4260
459	4331
459	4349
459	4362
459	4363
459	4368
459	4380
459	4390
459	4396
459	4398
459	4402
459	4405
459	4413
459	4451
459	4453
459	4454
459	4467
459	4485
459	4517
459	4523
459	4560
459	4580
459	4585
459	4595
459	4636
459	4640
459	4659
459	4700
459	4727
459	4729
459	4771
459	4824
459	4884
459	4892
459	4937
459	5247
459	5302
459	5308
459	5312
459	5316
459	5330
459	5332
459	5351
459	5353
459	5439
459	5454
459	5462
459	5463
459	5479
459	5481
459	5511
459	5515
459	5518
459	5560
459	5562
459	5577
459	5589
459	5594
459	5611
459	5624
459	5630
459	5719
459	5818
459	5822
459	5824
459	5853
459	5884
459	5915
459	5943
459	5947
459	5962
459	5984
459	5985
459	5995
459	5996
459	6014
459	6019
459	6083
459	6184
459	6209
459	6251
459	6335
459	6351
459	6424
459	6540
459	6554
459	6572
459	6715
459	6823
459	6827
459	7205
459	7352
459	7414
459	7466
459	7470
459	7472
459	7473
459	7481
459	7515
459	7550
459	7614
459	7616
459	7618
459	7750
459	7759
459	7867
459	7960
459	7990
459	8082
459	8091
459	8155
459	8266
459	8306
459	8398
459	8922
459	8950
459	8952
459	9211
459	9964
459	10139
459	10249
459	10348
459	10484
459	10489
459	10687
459	11426
459	11544
459	11574
459	11593
459	11612
459	11613
459	11673
459	11678
459	11716
459	12068
459	12333
459	13269
459	13399
459	13644
459	14970
459	16385
459	16428
459	16581
459	16737
459	17793
459	18115
459	18124
459	18528
459	19228
459	21389
459	21653
459	22283
459	22349
459	22795
459	23331
459	23510
459	23605
459	23618
459	23665
459	23681
459	23761
459	23799
459	23818
459	23908
459	23951
459	24047
459	24357
459	24844
459	24861
459	25328
459	25502
459	25734
459	25894
459	26174
459	26300
459	26380
459	26502
459	26628
459	26663
459	26866
459	27519
459	27544
459	27671
459	27700
459	28105
459	28140
459	28348
459	28355
459	28465
459	28494
459	28496
459	28625
459	28892
459	28984
459	29025
459	29400
459	29442
459	29519
459	29544
459	29571
459	29590
459	29610
459	29623
459	29642
459	29647
459	29669
459	29709
459	29711
459	29720
459	29722
459	29746
459	29753
459	29759
459	29787
459	29804
459	29805
459	29808
459	29826
459	29828
459	29831
459	29843
459	29854
459	29862
459	29867
459	29881
459	29882
459	29886
459	29913
459	29935
459	29976
459	29980
459	29981
459	29990
459	29999
459	30013
459	30028
459	30032
459	30047
459	30053
459	30069
459	30083
459	30095
459	30103
459	30105
459	30107
459	30112
459	30113
459	30114
459	30143
459	30147
459	30154
459	30160
459	30176
459	30183
459	30194
459	30195
459	30267
459	30294
459	30316
459	30326
459	30389
459	30399
459	30424
459	30470
459	30503
459	30514
459	30521
459	30527
459	30542
459	30558
459	30571
459	30587
459	30603
459	30619
459	30627
459	30655
459	30656
459	30658
459	30659
459	30674
459	30694
459	30710
459	30752
459	30800
459	30814
459	30827
459	30829
459	30831
459	30861
459	30864
459	30878
459	30882
459	30898
459	30907
459	30926
459	30939
459	30962
459	30970
459	30997
459	31000
459	31015
459	31066
459	31097
459	31104
459	31112
459	31172
460	0
460	136
460	181
460	189
460	190
460	347
460	459
460	522
460	556
460	3542
460	3578
460	5111
460	31201
460	31204
460	31207
460	31216
460	62917
470	0
470	124
470	313
470	459
470	477
470	593
470	599
470	5118
470	5238
470	5439
470	6096
470	7979
470	9181
470	11613
476	0
476	81
476	477
476	578
476	4485
476	4521
476	5050
476	5546
476	5562
476	5626
476	5631
476	6351
476	6379
476	6572
476	6606
476	7356
476	7451
476	10645
476	11714
477	0
477	62
477	81
477	106
477	204
477	217
477	355
477	370
477	416
477	470
477	476
477	538
477	593
477	596
477	599
477	4237
477	4243
477	4358
477	4362
477	4485
477	5047
477	5050
477	5072
477	5103
477	5105
477	5114
477	5118
477	5285
477	5351
477	5562
477	6366
477	6382
477	6389
477	6499
477	6540
477	7356
477	8650
477	11371
477	31490
478	0
478	355
478	4579
478	7294
478	22283
487	0
487	298
487	399
487	4103
487	4237
487	4330
487	4345
487	6258
487	23046
487	30939
487	31764
487	31767
492	0
492	22
492	182
492	184
492	204
492	459
492	596
